"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(1,2)) []","dB(S(2,2)) []"
1,-40.7994759811182,-0.188698235264426,-0.188698235261308,-43.3237396746724
1.0475,-40.9951226895721,-0.194821836684206,-0.194821836678127,-43.318639771013
1.095,-39.7850997051833,-0.202450732424109,-0.202450732415918,-41.5186265496626
1.1425,-38.1214019702524,-0.211297268782875,-0.211297268773328,-39.3845423976438
1.19,-36.5421799252351,-0.221110905090477,-0.221110905080238,-37.4975367866892
1.2375,-35.1784872978842,-0.231672401706723,-0.23167240169637,-35.9199051996195
1.285,-34.026941462427,-0.242789162872106,-0.242789162862128,-34.6051454263804
1.3325,-33.0561015250898,-0.254291483035877,-0.254291483026682,-33.5007651321048
1.38,-32.2345018321808,-0.266029496843287,-0.266029496835204,-32.5651541173208
1.4275,-31.5362807810204,-0.27787067475871,-0.277870674751974,-31.7674293379689
1.475,-30.9412350656683,-0.289697740095063,-0.289697740089846,-31.0848330576695
1.5225,-30.4337576537363,-0.301406911232388,-0.301406911228765,-30.5004270129297
1.57,-30.0017684890116,-0.31290639781045,-0.312906397808423,-30.0014111106807
1.6175,-29.6358616551305,-0.324115105522321,-0.324115105521794,-29.5779534054735
1.665,-29.3286692258467,-0.334961536814431,-0.334961536815214,-29.2223822687883
1.7125,-29.0743967293426,-0.345382924292024,-0.345382924293813,-28.9286263987343
1.76,-28.8684856464904,-0.35532471655443,-0.355324716556798,-28.6918242094375
1.8075,-28.7073681707057,-0.364740678310983,-0.364740678313373,-28.5080502761852
1.855,-28.5882890670775,-0.373594100206503,-0.37359410020825,-28.3741239691697
1.9025,-28.5091769578974,-0.381860952653527,-0.3818609526539,-28.2874768194566
1.95,-28.4685528153496,-0.389536165454314,-0.38953616545263,-28.2460626538538
1.9975,-28.465467352384,-0.396644122554638,-0.396644122550502,-28.248299551608
2.045,-28.4994618443512,-0.403252720559104,-0.403252720552753,-28.293036137955
2.0925,-28.5705490616979,-0.409484983452003,-0.409484983444649,-28.3795372192204
2.14,-28.6792127346339,-0.415513132811498,-0.415513132805267,-28.5074856506388
